"id","kode","grand_total","metode_pembayaran_id","metode_pembelian_id","created_at","updated_at"
"135","TRX-WXajokQU","10000","2","1","2024-09-19 19:17:25","2024-09-19 19:17:25"
"136","TRX-6nxlFJQc","8000","2","1","2024-09-19 19:17:32","2024-09-19 19:17:32"
"137","TRX-qKHSQkGz","5000","2","1","2024-09-19 19:37:07","2024-09-19 19:37:07"
"138","TRX-HzuC1N2y","15000","2","1","2024-09-19 20:35:46","2024-09-19 20:35:46"
"139","TRX-EfPwtfzF","35000","2","1","2024-09-20 10:57:54","2024-09-20 10:57:54"
"140","TRX-myn5WrcJ","18000","2","1","2024-09-20 11:48:01","2024-09-20 11:48:01"
"141","TRX-160zmKrN","16000","2","1","2024-09-20 11:58:18","2024-09-20 11:58:18"
"142","TRX-zR0wONJx","10000","2","1","2024-09-20 12:14:57","2024-09-20 12:14:57"
"143","TRX-ZHcLG2nR","10000","2","1","2024-09-20 12:38:44","2024-09-20 12:38:44"
"144","TRX-OYIxPIlp","8000","2","1","2024-09-20 12:48:36","2024-09-20 12:48:36"
"145","TRX-MnvmS4ZB","5000","2","1","2024-09-20 12:52:42","2024-09-20 12:52:42"
"146","TRX-eoRdkrqL","8000","2","1","2024-09-20 13:03:45","2024-09-20 13:03:45"
"147","TRX-H64WSsi6","10000","2","1","2024-09-20 14:06:58","2024-09-20 14:06:58"
"148","TRX-Kxdd2y0p","16000","2","1","2024-09-20 14:13:10","2024-09-20 14:13:10"
"149","TRX-0KbVkImp","13000","2","1","2024-09-20 14:20:28","2024-09-20 14:20:28"
"150","TRX-jII93Q8y","15000","2","1","2024-09-20 15:08:31","2024-09-20 15:08:31"
"151","TRX-OI0WZjUY","26000","2","1","2024-09-20 15:08:59","2024-09-20 15:08:59"
"152","TRX-yrLrRIPl","16000","2","1","2024-09-20 15:09:24","2024-09-20 15:09:24"
"153","TRX-QwXQvHAz","5000","2","1","2024-09-20 15:14:20","2024-09-20 15:14:20"
"154","TRX-6SOP7cqN","10000","2","1","2024-09-20 16:06:06","2024-09-20 16:06:06"
"155","TRX-unV11Ca5","10000","2","1","2024-09-20 16:09:40","2024-09-20 16:09:40"
"156","TRX-FY3lwWHq","12000","2","1","2024-09-20 16:40:31","2024-09-20 16:40:31"
"157","TRX-pqCFbTsz","15000","2","1","2024-09-20 17:12:04","2024-09-20 17:12:04"
"158","TRX-815oI5YP","6000","2","1","2024-09-20 17:43:10","2024-09-20 17:43:10"
"159","TRX-otYUvke1","10000","2","1","2024-09-20 17:56:18","2024-09-20 17:56:18"
"160","TRX-QVF6uAzc","10000","2","1","2024-09-20 19:04:55","2024-09-20 19:04:55"
"161","TRX-OJlWMbuF","15000","2","1","2024-09-20 19:39:05","2024-09-20 19:39:05"
"162","TRX-3rceMrzq","16000","1","1","2024-09-20 19:54:12","2024-09-20 19:54:12"
"163","TRX-vVnvDkPy","10000","2","1","2024-09-20 20:22:32","2024-09-20 20:22:32"
"164","TRX-u99DLVdO","8000","3","3","2024-09-20 20:22:39","2024-09-20 20:22:39"
"165","TRX-27shLhei","5000","2","1","2024-09-20 21:10:21","2024-09-20 21:10:21"
"166","TRX-aWvY8uUc","15000","2","1","2024-09-21 10:31:20","2024-09-21 10:31:20"
"167","TRX-7CLdL0gu","10000","2","1","2024-09-21 10:31:24","2024-09-21 10:31:24"
"168","TRX-FkNY25uc","15000","2","1","2024-09-21 10:31:28","2024-09-21 10:31:28"
"169","TRX-AMY4UljW","6000","2","1","2024-09-21 10:31:31","2024-09-21 10:31:31"
"170","TRX-K7WT3beQ","30000","2","1","2024-09-21 11:31:51","2024-09-21 11:31:51"
"171","TRX-7FOTWkBT","5000","2","1","2024-09-21 11:46:30","2024-09-21 11:46:30"
"172","TRX-OYCuCcDB","16000","2","1","2024-09-21 11:58:59","2024-09-21 11:58:59"
"173","TRX-yFXarwuV","20000","2","1","2024-09-21 12:11:17","2024-09-21 12:11:17"
"174","TRX-uRBPNv6H","8000","2","1","2024-09-21 12:18:48","2024-09-21 12:18:48"
"175","TRX-XMIMTgsN","10000","2","1","2024-09-21 12:23:55","2024-09-21 12:23:55"
"176","TRX-n3eSfeBs","6000","1","1","2024-09-21 12:38:01","2024-09-21 12:38:01"
"177","TRX-Rt7rcUqz","5000","2","1","2024-09-21 13:12:10","2024-09-21 13:12:10"
"178","TRX-DSRfZOiR","8000","2","1","2024-09-21 13:12:16","2024-09-21 13:12:16"
"179","TRX-BmX0gj5s","5000","2","1","2024-09-21 14:18:26","2024-09-21 14:18:26"
"180","TRX-PcKVAf8N","15000","2","1","2024-09-21 14:40:24","2024-09-21 14:40:24"
"181","TRX-PLqVMggB","16000","2","1","2024-09-21 14:40:34","2024-09-21 14:40:34"
"182","TRX-SlexoZkL","5000","2","1","2024-09-21 15:04:28","2024-09-21 15:04:28"
"183","TRX-nui3KchT","13000","2","1","2024-09-21 16:14:03","2024-09-21 16:14:03"
"184","TRX-llsvtPE9","20000","2","1","2024-09-21 17:23:57","2024-09-21 17:23:57"
"185","TRX-WQu3oinQ","10000","2","1","2024-09-21 17:38:32","2024-09-21 17:38:32"
"186","TRX-WutTDExN","10000","2","1","2024-09-21 18:53:06","2024-09-21 18:53:06"
"187","TRX-Y05wM9Mx","5000","2","1","2024-09-21 19:01:55","2024-09-21 19:01:55"
"188","TRX-GLvbfD6n","10000","2","1","2024-09-21 19:10:22","2024-09-21 19:10:22"
"189","TRX-YOSNmE9a","5000","2","1","2024-09-21 19:33:10","2024-09-21 19:33:10"
"190","TRX-pWqWvLCc","10000","2","1","2024-09-21 19:44:48","2024-09-21 19:44:48"
"191","TRX-8LG1iOu7","16000","2","1","2024-09-21 19:51:01","2024-09-21 19:51:01"
"192","TRX-ufW2BBLI","12000","2","1","2024-09-21 20:17:59","2024-09-21 20:17:59"
"194","TRX-6d9dT4K2","5000","2","1","2024-09-21 20:33:00","2024-09-21 20:33:00"
"195","TRX-YaJLcCo0","6000","1","1","2024-09-21 20:33:11","2024-09-21 20:33:11"
"196","TRX-1lOgteVA","15000","2","1","2024-09-21 20:49:55","2024-09-21 20:49:55"
"197","TRX-YttBU2Wv","11000","2","1","2024-09-21 21:14:22","2024-09-21 21:14:22"
"198","TRX-SnTJc3K7","5000","2","1","2024-09-21 21:41:37","2024-09-21 21:41:37"
"199","TRX-hAv7yq0M","10000","2","1","2024-09-22 10:41:08","2024-09-22 10:41:08"
"200","TRX-BWPZMp8j","23000","2","1","2024-09-22 10:57:27","2024-09-22 10:57:27"
"201","TRX-lZA04bRF","10000","2","1","2024-09-22 11:51:42","2024-09-22 11:51:42"
"202","TRX-KS4q3CRW","35000","2","1","2024-09-22 12:12:04","2024-09-22 12:12:04"
"203","TRX-STLYhnTm","12000","2","1","2024-09-22 12:12:09","2024-09-22 12:12:09"
"204","TRX-lXqEspvh","5000","2","1","2024-09-22 12:17:30","2024-09-22 12:17:30"
"205","TRX-krUOxcRN","5000","1","1","2024-09-22 12:17:36","2024-09-22 12:17:36"
"206","TRX-O7B5JbTx","12000","2","1","2024-09-22 12:21:12","2024-09-22 12:21:12"
"207","TRX-7Viiynvl","18000","2","1","2024-09-22 12:46:19","2024-09-22 12:46:19"
"208","TRX-gaKVv7hS","13000","2","1","2024-09-22 12:57:14","2024-09-22 12:57:14"
"210","TRX-0JGIP8Ky","10000","2","1","2024-09-22 13:31:40","2024-09-22 13:31:40"
"211","TRX-OKjlkTT0","16000","2","1","2024-09-22 13:31:46","2024-09-22 13:31:46"
"212","TRX-E38cH9Fl","5000","2","1","2024-09-22 14:34:50","2024-09-22 14:34:50"
"213","TRX-np9KyZ37","5000","2","1","2024-09-22 14:39:25","2024-09-22 14:39:25"
"215","TRX-D7L4psSB","23000","2","1","2024-09-22 14:48:45","2024-09-22 14:48:45"
"216","TRX-7K1CTr0f","12000","2","1","2024-09-22 15:08:25","2024-09-22 15:08:25"
"217","TRX-o3FRa5hj","12000","1","1","2024-09-22 15:18:15","2024-09-22 15:18:15"
"218","TRX-W3pP3aHy","18000","2","1","2024-09-22 15:18:23","2024-09-22 15:18:23"
"219","TRX-abpSAViV","6000","2","1","2024-09-22 15:52:20","2024-09-22 15:52:20"
"220","TRX-CXeKDis6","5000","2","1","2024-09-22 15:57:00","2024-09-22 15:57:00"
"221","TRX-JjdnTaQ5","15000","2","1","2024-09-22 16:11:55","2024-09-22 16:11:55"
"222","TRX-h06nuJEi","13000","2","1","2024-09-22 16:35:48","2024-09-22 16:35:48"
"223","TRX-VX3O82IB","13000","2","1","2024-09-22 17:42:01","2024-09-22 17:42:01"
"224","TRX-vHWZ9xUC","14000","2","1","2024-09-22 17:42:10","2024-09-22 17:42:10"
"225","TRX-950A3vzy","6000","1","1","2024-09-22 17:42:16","2024-09-22 17:42:16"
"226","TRX-hPX7DgzN","5000","2","1","2024-09-22 17:48:36","2024-09-22 17:48:36"
"227","TRX-IqrxHRtO","10000","2","1","2024-09-22 17:48:40","2024-09-22 17:48:40"
"228","TRX-PWPV0TeL","5000","2","1","2024-09-22 18:11:10","2024-09-22 18:11:10"
"229","TRX-xUgzMmud","10000","2","1","2024-09-22 19:08:00","2024-09-22 19:08:00"
"230","TRX-sa9MXd8y","5000","2","1","2024-09-22 19:32:55","2024-09-22 19:32:55"
"231","TRX-n65SEMfr","6000","2","1","2024-09-22 19:33:00","2024-09-22 19:33:00"
"232","TRX-1rPY3DB3","10000","2","1","2024-09-22 20:32:55","2024-09-22 20:32:55"
"233","TRX-v4tyCyv2","10000","1","1","2024-09-22 20:33:01","2024-09-22 20:33:01"
"234","TRX-nhFUL2rj","12000","1","1","2024-09-22 21:06:48","2024-09-22 21:06:48"
"235","TRX-AVC4AI11","6000","2","1","2024-09-22 21:06:55","2024-09-22 21:06:55"
"236","TRX-vROeTHm4","10000","2","1","2024-09-22 21:07:00","2024-09-22 21:07:00"
"237","TRX-Q4vvblps","8000","2","1","2024-09-22 21:07:08","2024-09-22 21:07:08"
"238","TRX-AcKIZicq","10000","2","1","2024-09-22 21:51:16","2024-09-22 21:51:16"
"239","TRX-MpkNMWBB","5000","2","1","2024-09-22 21:51:21","2024-09-22 21:51:21"
"240","TRX-7eK0OaFI","5000","2","1","2024-09-22 21:51:26","2024-09-22 21:51:26"
"241","TRX-TIb52z9H","5000","2","1","2024-09-22 23:04:30","2024-09-22 23:04:30"
"242","TRX-tUMMF8Lq","5000","2","1","2024-09-23 10:38:31","2024-09-23 10:38:31"
"243","TRX-erlHWKeb","10000","2","1","2024-09-23 11:10:40","2024-09-23 11:10:40"
"244","TRX-kLws0EyM","5000","2","1","2024-09-23 11:55:01","2024-09-23 11:55:01"
"245","TRX-NcfHEAml","8000","2","1","2024-09-23 12:23:27","2024-09-23 12:23:27"
"246","TRX-01o880Cl","15000","2","1","2024-09-23 12:50:37","2024-09-23 12:50:37"
"247","TRX-bFE6gJfF","8000","2","1","2024-09-23 12:50:56","2024-09-23 12:50:56"
"248","TRX-bN13CTzN","12000","1","1","2024-09-23 13:00:40","2024-09-23 13:00:40"
"249","TRX-PQjRNZUG","6000","2","1","2024-09-23 13:04:04","2024-09-23 13:04:05"
"250","TRX-bBeUVCZz","13000","2","1","2024-09-23 13:29:05","2024-09-23 13:29:05"
"251","TRX-O3aAhFVV","14000","2","1","2024-09-23 13:38:06","2024-09-23 13:38:06"
"252","TRX-gbei2v4S","32000","2","1","2024-09-23 14:14:55","2024-09-23 14:14:55"
"253","TRX-X4TyZ82J","16000","2","1","2024-09-23 14:15:04","2024-09-23 14:15:04"
"254","TRX-nHA1Z0Zt","8000","2","1","2024-09-23 14:15:09","2024-09-23 14:15:09"
"255","TRX-h1vXcUky","5000","1","1","2024-09-23 14:25:03","2024-09-23 14:25:03"
"256","TRX-kZywszUk","5000","2","1","2024-09-23 14:27:20","2024-09-23 14:27:20"
"257","TRX-EdhFSHYK","20000","2","1","2024-09-23 14:37:25","2024-09-23 14:37:25"
"258","TRX-51PHLTlQ","5000","2","1","2024-09-23 14:40:13","2024-09-23 14:40:13"
"259","TRX-kzWYa3gn","5000","2","1","2024-09-23 14:43:03","2024-09-23 14:43:03"
"260","TRX-9zU5kBf0","21000","2","1","2024-09-23 15:02:02","2024-09-23 15:02:02"
"261","TRX-xrl6AxXP","6000","2","1","2024-09-23 15:15:57","2024-09-23 15:15:57"
"262","TRX-bteU1tKL","23000","2","1","2024-09-23 15:41:50","2024-09-23 15:41:50"
"263","TRX-ibHeWzO0","5000","2","1","2024-09-23 15:59:33","2024-09-23 15:59:33"
"264","TRX-QPZbX00W","12000","2","1","2024-09-23 16:17:46","2024-09-23 16:17:46"
"265","TRX-NZGSJGXq","15000","2","1","2024-09-23 16:47:47","2024-09-23 16:47:47"
"266","TRX-aS9AywAC","10000","2","1","2024-09-23 17:14:56","2024-09-23 17:14:56"
"267","TRX-NiBBAG9e","8000","1","1","2024-09-23 17:39:53","2024-09-23 17:39:53"
"268","TRX-Nyq2Lc3X","10000","2","1","2024-09-23 18:07:37","2024-09-23 18:07:37"
"269","TRX-PBXwhtys","20000","2","1","2024-09-23 19:49:59","2024-09-23 19:49:59"
"270","TRX-ED5GiIjQ","8000","2","1","2024-09-23 19:50:04","2024-09-23 19:50:04"
"271","TRX-vSZemZIZ","8000","3","3","2024-09-23 21:14:09","2024-09-23 21:14:09"
"272","TRX-PKWgj4wu","8000","2","1","2024-09-23 21:14:16","2024-09-23 21:14:16"
"273","TRX-qmUm0xMF","5000","2","1","2024-09-23 21:25:33","2024-09-23 21:25:33"
"274","TRX-Ih36lGo8","10000","1","1","2024-09-23 21:30:13","2024-09-23 21:30:13"
"275","TRX-PH2mzp9b","2000","2","1","2024-09-23 21:41:52","2024-09-23 21:41:52"
"276","TRX-YPiU1RzS","8000","2","1","2024-09-23 21:55:14","2024-09-23 21:55:14"
"277","TRX-Wjv3bZKE","5000","2","1","2024-09-23 21:55:19","2024-09-23 21:55:19"
"278","TRX-VGkhlNpY","5000","2","1","2024-09-23 23:22:56","2024-09-23 23:22:56"
"279","TRX-g4UKh1th","7000","2","1","2024-09-24 10:30:27","2024-09-24 10:30:27"
"280","TRX-h4jCWfb3","8000","2","1","2024-09-24 10:39:45","2024-09-24 10:39:45"
"281","TRX-5EgrIzLH","10000","1","1","2024-09-24 10:39:51","2024-09-24 10:39:51"
"282","TRX-bOfy2JwJ","32000","2","1","2024-09-24 11:21:52","2024-09-24 11:21:52"
"283","TRX-zp94mxf4","16000","2","1","2024-09-24 11:22:03","2024-09-24 11:22:03"
"284","TRX-kYruwzWM","15000","2","1","2024-09-24 11:42:12","2024-09-24 11:42:12"
"285","TRX-I5uBOPUa","10000","2","1","2024-09-24 13:41:16","2024-09-24 13:41:16"
"286","TRX-KgpKZ3ji","8000","1","1","2024-09-24 16:44:03","2024-09-24 16:44:03"
"287","TRX-CumBmPpu","19000","2","1","2024-09-24 20:40:53","2024-09-24 20:40:53"
"288","TRX-kOR0JXi5","15000","2","1","2024-09-24 21:00:38","2024-09-24 21:00:38"
"289","TRX-tJ6iSKa9","5000","2","1","2024-09-25 10:31:13","2024-09-25 10:31:13"
"290","TRX-ci47AsiR","13000","2","1","2024-09-25 11:07:16","2024-09-25 11:07:16"
"291","TRX-jVprP8LV","5000","2","1","2024-09-25 11:11:54","2024-09-25 11:11:54"
"292","TRX-xv0ao6ZG","10000","1","1","2024-09-25 12:07:07","2024-09-25 12:07:07"
"293","TRX-pXwdsmGB","5000","2","1","2024-09-25 12:07:11","2024-09-25 12:07:11"
"294","TRX-T8uMMd2L","10000","2","1","2024-09-25 12:26:37","2024-09-25 12:26:37"
"295","TRX-CqyrdtA6","11000","2","1","2024-09-25 12:44:56","2024-09-25 12:44:56"
"296","TRX-o5bS3IXv","15000","2","1","2024-09-25 13:29:11","2024-09-25 13:29:11"
"297","TRX-y7WpeDy6","13000","2","1","2024-09-25 14:29:15","2024-09-25 14:29:15"
"298","TRX-sVVA2fdS","5000","2","1","2024-09-25 14:35:28","2024-09-25 14:35:28"
